operator_id,with_fx_initial_success,without_fx_initial_success,with_fx_refine_success,without_fx_refine_success,with_fx_refine_rounds,without_fx_refine_rounds
energy_to_force,True,True,True,True,1,1
energy_to_stress,True,False,True,True,1,3
force_loss,True,False,True,True,1,1
stress_loss,False,True,True,True,1,1
