phase,with_fx_success,with_fx_total,with_fx_success_rate,without_fx_success,without_fx_total,without_fx_success_rate,delta_with_fx_minus_without_fx
Initial generation,16,33,48.5%,14,33,42.4%,+6.1 pp
After refinement,27,33,81.8%,25,33,75.8%,+6.1 pp
