model_name,backend,mode,batch_size,supercell,infer_task,train_task,warmup,repeat,optimizer_step,compile_mode,compile_fullgraph,ms_per_iter,speedup_vs_torch_eager,status,returncode,source_json
matris_10m_mp,generated_triton,inference,1,1,ef,ef,3,8,False,reduce-overhead,False,121.39158975332975,0.9094298317472223,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_inference_ef_sc1.json
matris_10m_mp,torch_eager,inference,1,1,efsm,ef,3,8,False,reduce-overhead,False,107.91097022593021,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_inference_efsm_sc1.json
matris_10m_mp,torch_compile,inference,1,1,efsm,ef,3,8,False,reduce-overhead,False,,,failed,-11,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_inference_efsm_sc1.json
matris_10m_mp,generated_triton,inference,1,1,efsm,ef,3,8,False,reduce-overhead,False,117.67137562856078,0.9170536984844974,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_inference_efsm_sc1.json
matris_10m_mp,torch_eager,train,1,1,ef,e,3,8,True,reduce-overhead,False,141.73336746171117,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_e_sc1.json
matris_10m_mp,torch_compile,train,1,1,ef,e,3,8,True,reduce-overhead,False,,,failed,-11,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_e_sc1.json
matris_10m_mp,generated_triton,train,1,1,ef,e,3,8,True,reduce-overhead,False,148.26599461957812,0.9559398149614251,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_e_sc1.json
matris_10m_mp,torch_eager,train,1,1,ef,ef,3,8,True,reduce-overhead,False,327.7396485209465,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_ef_sc1.json
matris_10m_mp,torch_compile,train,1,1,ef,ef,3,8,True,reduce-overhead,False,,,failed,1,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_ef_sc1.json
matris_10m_mp,generated_triton,train,1,1,ef,ef,3,8,True,reduce-overhead,False,353.3226898871362,0.9275929848310567,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_ef_sc1.json
matris_10m_mp,torch_eager,train,1,1,ef,efs,3,8,True,reduce-overhead,False,330.9615710750222,,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_efs_sc1.json
matris_10m_mp,torch_compile,train,1,1,ef,efs,3,8,True,reduce-overhead,False,,,failed,1,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_efs_sc1.json
matris_10m_mp,generated_triton,train,1,1,ef,efs,3,8,True,reduce-overhead,False,358.71129808947444,0.9226404990245651,ok,,/share/home/liuyao/workspace/KernelAgent/exps/matris_batch/optimization_results/paper_3090_mp_train_efs_sc1.json
